Feature,Mean_Absolute_SHAP
num__company_size_after,0.027330942418141154
num__funds_raised_mil,0.02247088562969799
cat__stage_Seed,0.016309856705057257
cat__stage_Post-IPO,0.012318037324587187
num__company_size_before,0.010585706689119265
num__days_to_report,0.009295493427835306
num__total_laid_off,0.007074230469679841
num__year,0.0063299592953871865
cat__industry_Food,0.0028629691060724836
cat__industry_Healthcare,0.002654308739993983
cat__industry_FOOD,0.0023883032075159316
cat__date_added_2025-07-25,0.002298888651738434
cat__city_Jersey City,0.0018638129546612822
cat__industry_Data,0.000907127647287675
cat__industry_Transportation,0.0007080679942152164
cat__stage_Series J,0.0006850329741749706
cat__is_weekend_False,0.0006702489904859519
cat__country_Nigeria,0.0006329659991908241
cat__city_SF Bay Area,0.000617376597902163
cat__industry_Finance,0.0005928481734040853
cat__is_weekend_True,0.0003807706496337688
cat__stage_Series A,0.0003742485036240434
cat__day_of_week_Wednesday,0.00036911466537640884
cat__is_us_False,0.00035145852125122916
cat__month_name_August,0.0003355371203437888
cat__industry_Sales,0.0002807668108642535
cat__date_added_2023-12-10,0.000278055054678944
cat__stage_SEED,0.00024995575819445254
cat__day_of_week_Monday,0.00024704188435093356
cat__month_name_April,0.0002079303239281783
cat__country_Vietnam,0.00019361799793425494
cat__stage_Unknown,0.000187955134829557
cat__country_Poland,0.00018001352497035744
cat__date_added_2022-06-04,0.0001637906408318439
cat__date_added_2023-06-14,0.00015613993799453972
num__quarter,0.00015446752305906623
cat__date_added_2024-02-03,0.00014116755409876049
cat__date_added_2023-01-29,0.00012162614334312406
cat__date_added_2026-01-23,0.0001208057997242862
cat__date_added_2024-10-07,0.00011029593153917653
cat__industry_edtech,0.00010840189910735517
cat__date_added_2023-04-05,0.00010787959667190362
cat__date_added_2026-01-14,9.47345710994149e-05
cat__date_added_2026-03-07,9.403295781111212e-05
cat__country_United Arab Emirates,8.372020460441736e-05
cat__stage_seed,8.062143704729389e-05
cat__date_added_2023-03-03,6.424565718871879e-05
cat__city_Dallas,6.159132095921362e-05
cat__city_Unknown,4.674447193433418e-05
cat__day_of_week_Tuesday,4.66809501420005e-05
cat__city_Philadelphia,4.641535599384916e-05
cat__date_added_2023-12-22,4.026795572731686e-05
cat__date_added_2020-05-01,3.527859629037718e-05
cat__stage_Series B,2.543592882850184e-05
cat__date_added_2024-04-30,2.230262280080242e-05
cat__industry_Consumer,2.1765659175375134e-05
cat__date_added_2020-04-15,1.3757736819890253e-06
cat__date_added_2024-05-23,1.3215796322015832e-06
cat__industry_HR,1.2787556719795821e-06
cat__country_Brazil,3.139336563662511e-08
cat__record_id_layoff_05552,0.0
cat__record_id_layoff_05553,0.0
cat__record_id_layoff_05551,0.0
cat__record_id_layoff_05549,0.0
cat__record_id_layoff_05548,0.0
cat__record_id_layoff_05546,0.0
cat__record_id_layoff_05545,0.0
cat__record_id_layoff_05544,0.0
cat__record_id_layoff_05543,0.0
cat__record_id_layoff_05542,0.0
cat__record_id_layoff_05541,0.0
cat__record_id_layoff_05540,0.0
cat__record_id_layoff_05538,0.0
cat__record_id_layoff_05554,0.0
cat__record_id_layoff_05587,0.0
cat__record_id_layoff_05586,0.0
cat__record_id_layoff_05585,0.0
cat__record_id_layoff_05584,0.0
cat__record_id_layoff_05583,0.0
cat__record_id_layoff_05580,0.0
cat__record_id_layoff_05579,0.0
cat__record_id_layoff_05578,0.0
cat__record_id_layoff_05577,0.0
cat__record_id_layoff_05576,0.0
cat__record_id_layoff_05574,0.0
cat__record_id_layoff_05572,0.0
cat__record_id_layoff_05539,0.0
cat__record_id_layoff_05570,0.0
cat__record_id_layoff_05569,0.0
cat__record_id_layoff_05567,0.0
cat__record_id_layoff_05565,0.0
cat__record_id_layoff_05564,0.0
cat__record_id_layoff_05563,0.0
cat__record_id_layoff_05561,0.0
cat__record_id_layoff_05559,0.0
cat__record_id_layoff_05558,0.0
cat__record_id_layoff_05557,0.0
cat__record_id_layoff_05556,0.0
cat__record_id_layoff_05555,0.0
cat__record_id_layoff_05571,0.0
cat__record_id_layoff_05502,0.0
cat__record_id_layoff_05501,0.0
cat__record_id_layoff_05500,0.0
cat__record_id_layoff_05499,0.0
cat__record_id_layoff_05498,0.0
cat__record_id_layoff_05497,0.0
cat__record_id_layoff_05496,0.0
cat__record_id_layoff_05495,0.0
cat__record_id_layoff_05494,0.0
cat__record_id_layoff_05493,0.0
cat__record_id_layoff_05491,0.0
cat__record_id_layoff_05490,0.0
cat__record_id_layoff_05590,0.0
cat__record_id_layoff_05488,0.0
cat__record_id_layoff_05487,0.0
cat__record_id_layoff_05486,0.0
cat__record_id_layoff_05485,0.0
cat__record_id_layoff_05484,0.0
cat__record_id_layoff_05483,0.0
cat__record_id_layoff_05482,0.0
cat__record_id_layoff_05481,0.0
cat__record_id_layoff_05479,0.0
cat__record_id_layoff_05477,0.0
cat__record_id_layoff_05476,0.0
cat__record_id_layoff_05474,0.0
cat__record_id_layoff_05489,0.0
cat__record_id_layoff_05537,0.0
cat__record_id_layoff_05535,0.0
cat__record_id_layoff_05534,0.0
cat__record_id_layoff_05533,0.0
cat__record_id_layoff_05532,0.0
cat__record_id_layoff_05531,0.0
cat__record_id_layoff_05530,0.0
cat__record_id_layoff_05529,0.0
cat__record_id_layoff_05527,0.0
cat__record_id_layoff_05526,0.0
cat__record_id_layoff_05525,0.0
cat__record_id_layoff_05523,0.0
cat__record_id_layoff_05504,0.0
cat__record_id_layoff_05521,0.0
cat__record_id_layoff_05518,0.0
cat__record_id_layoff_05517,0.0
cat__record_id_layoff_05516,0.0
cat__record_id_layoff_05515,0.0
cat__record_id_layoff_05514,0.0
cat__record_id_layoff_05513,0.0
cat__record_id_layoff_05512,0.0
cat__record_id_layoff_05511,0.0
cat__record_id_layoff_05508,0.0
cat__record_id_layoff_05507,0.0
cat__record_id_layoff_05506,0.0
cat__record_id_layoff_05505,0.0
cat__record_id_layoff_05522,0.0
cat__city_AUSTIN,0.0
cat__city_AUCKLAND,0.0
cat__city_ATLANTA,0.0
cat__city_AMSTERDAM,0.0
cat__record_id_layoff_new_0014,0.0
cat__record_id_layoff_new_0013,0.0
cat__record_id_layoff_new_0012,0.0
cat__record_id_layoff_new_0011,0.0
cat__record_id_layoff_new_0010,0.0
cat__record_id_layoff_new_0009,0.0
cat__record_id_layoff_new_0008,0.0
cat__record_id_layoff_05475,0.0
cat__record_id_layoff_new_0006,0.0
cat__record_id_layoff_new_0005,0.0
